cell_id,seafloor_depth,water_temperature,strength_of_current,seafloor_composition,outcome
0,3581.8730174988254,21.006782806626845,moderate,sand,1
1,715.3538150543033,11.553154986451773,strong,rock,1
2,2805.8691093289476,10.707339129491677,moderate,sand,1
3,1154.1168786720852,16.352951476404666,strong,mud,0
4,1363.0898309774063,12.815914086095026,moderate,mud,1
5,3767.6058980862153,21.62437202301981,strong,mud,0
6,2756.0159610898927,21.78762492165413,moderate,mud,0
7,790.8416971387662,11.523339970909795,moderate,rock,0
8,1517.159383162751,14.301777216655339,weak,mud,0
9,2793.3040530554504,17.378276069820025,strong,rock,1
10,3785.935124225923,18.940575680249548,weak,mud,1
11,2305.43199453579,14.86405526462414,weak,sand,1
12,2589.1552752779276,20.374252311936296,moderate,sand,0
13,3304.11958165459,15.579359023873394,moderate,sand,0
14,1946.1608409909118,9.389229795783313,strong,sand,1
15,3410.5406533518603,9.515117154887763,moderate,rock,0
16,3984.543317440691,11.757300831442805,strong,sand,0
17,3888.6561109509203,21.074061852932825,weak,mud,0
18,1295.8531856989737,14.047935949457502,moderate,mud,1
19,3997.695079590089,10.705741271434567,moderate,sand,0
20,564.6914514815197,11.206466388057239,weak,mud,1
21,1199.8809112231168,9.43662245621911,weak,mud,1
22,2978.8909633671565,11.825821961482998,strong,mud,0
23,3998.5837925971405,14.969079298037757,weak,mud,1
24,1187.3706653907805,13.31224023218025,strong,sand,0
25,3981.6891451622582,17.019211529361343,moderate,mud,0
26,2953.282073767746,18.40315695034643,moderate,rock,1
27,1249.5903197782206,11.207150131909849,weak,sand,1
28,3994.319505533292,17.756031746530027,strong,mud,0
29,2375.6797580073526,9.689364122777526,moderate,rock,1
30,3341.222946088715,15.772175252002025,moderate,mud,0
31,2352.4338265776983,14.92269902879351,moderate,mud,1
32,2638.438213022127,12.074384556301691,weak,sand,1
33,802.0468677486501,13.872187898633056,moderate,sand,0
34,540.5975038642413,17.740487455019938,moderate,rock,1
35,558.5087635737531,14.598707389717342,strong,mud,0
36,500.89732610050913,18.572235652925293,moderate,sand,0
37,3108.260899259811,9.977534655456594,weak,mud,0
38,610.1381943939308,12.152687213540238,moderate,rock,1
39,2843.845732158571,13.108059847777902,strong,rock,1
40,975.4245335602492,21.331637369836457,moderate,sand,0
41,2914.4637215971266,20.931728560692896,moderate,rock,1
42,2454.228412063194,15.392327546302448,strong,sand,1
43,1378.0807993650362,18.548351931554784,strong,mud,0
44,3981.711035631963,17.801322893203547,strong,mud,0
45,3901.3846066139567,13.217297191350685,strong,mud,0
46,1827.5196078029835,9.34017402643939,weak,mud,1
47,3792.1081904002144,10.428212523747924,weak,mud,0
48,1858.9011209210728,21.905673895983597,weak,rock,0
49,1346.0449354869775,18.268618061472594,weak,rock,0
50,3325.299229582571,14.342314516967773,weak,rock,1
51,509.11864926281214,19.88973851201844,moderate,sand,1
52,3543.281743246633,20.288022048930085,weak,mud,1
53,2935.1273662614144,20.35315136421807,strong,rock,0
54,847.6673617946665,12.870173334084097,strong,sand,1
55,1525.853095257687,13.646632811907438,weak,rock,1
56,3905.01813132853,19.131809868232352,weak,rock,1
57,3839.4554736834148,16.035835556882127,moderate,mud,0
58,2325.538007525219,20.94209489264958,moderate,rock,0
59,1196.0626380006695,19.56289179631043,strong,mud,0
60,2396.1732944039804,17.542779379367573,moderate,mud,1
61,1597.4640919858834,12.234518568707074,strong,sand,0
62,604.4563740396941,13.590524732445274,weak,mud,0
63,516.4307706762821,20.366853871633722,weak,sand,1
64,1059.4546407759735,20.420776249687833,moderate,rock,0
65,3999.2811690575713,18.5112055357959,strong,mud,0
66,3622.2308226868117,12.966018140245446,strong,sand,1
67,3144.84374285072,20.375491450958812,strong,sand,0
68,3794.6894696938157,13.533404516246607,strong,sand,0
69,3849.956148923628,20.399872717958992,strong,sand,0
70,3739.2461140275823,10.431107681143834,strong,mud,0
71,3926.8970156768946,9.881619272047558,strong,mud,0
72,2891.3573610324765,18.911796251959178,weak,sand,0
73,3708.3909651949716,16.010902956799526,weak,rock,0
74,1501.6967042475203,15.585288381690567,weak,sand,1
75,3889.037794963691,13.867852230173732,moderate,rock,0
76,1672.9343601546768,12.25799700740092,strong,mud,1
77,2942.883717454892,10.920701699163152,strong,sand,0
78,3038.165813010178,21.42684631753079,weak,rock,1
79,1739.547703706642,21.75418272213896,moderate,mud,1
80,3188.6256509210184,21.03350375626257,strong,sand,1
81,3348.5622737004137,21.094136596766273,weak,sand,1
82,3627.6465904340066,19.088545812939707,moderate,mud,0
83,501.5132336370438,13.46715827063754,weak,mud,1
84,3792.2469718668162,17.098762940896027,strong,sand,0
85,797.644933109998,20.846838434171115,weak,sand,0
86,1127.7209912144767,20.232136692280193,moderate,rock,1
87,3769.2782184326556,11.97940719611787,strong,sand,0
88,3482.974043513115,11.421751891096514,weak,sand,0
89,1070.6653308336363,16.967164307123678,weak,sand,1
90,2662.737621487277,19.587670026795543,strong,sand,1
91,1732.350233984562,14.664884132971173,moderate,sand,1
92,3682.0886534388455,9.517475844492465,moderate,mud,1
93,2552.738894442094,9.1755398961251,weak,rock,0
94,3371.2718954432103,14.794327410451832,weak,mud,0
95,2659.8332942173442,13.119217939401569,strong,sand,1
96,1032.5455453100662,15.69982374024201,weak,sand,0
97,3883.862642916336,17.163360755296985,moderate,mud,0
98,504.3975258942538,10.69806600332843,weak,rock,1
99,2564.698389480847,18.361400538833614,weak,sand,0
